i1	V(N001,N002)	V(N002,N003)	V(N003,N004)	V(n004)
2.159999999999993e-002	7.345939e-001	3.317947e+000	7.356813e-001	2.328424e-001
2.169999999999992e-002	7.347136e-001	3.319323e+000	7.359474e-001	2.330113e-001
2.179999999999992e-002	7.348323e-001	3.320695e+000	7.362126e-001	2.331795e-001
2.189999999999992e-002	7.349505e-001	3.322064e+000	7.364768e-001	2.333469e-001
2.199999999999992e-002	7.350688e-001	3.323429e+000	7.367400e-001	2.335135e-001
2.209999999999992e-002	7.351856e-001	3.324791e+000	7.370023e-001	2.336794e-001
2.219999999999992e-002	7.353024e-001	3.326149e+000	7.372637e-001	2.338446e-001
2.229999999999992e-002	7.354188e-001	3.327503e+000	7.375242e-001	2.340091e-001
2.239999999999992e-002	7.355342e-001	3.328854e+000	7.377837e-001	2.341729e-001
2.249999999999992e-002	7.356496e-001	3.330201e+000	7.380424e-001	2.343359e-001
2.259999999999992e-002	7.357645e-001	3.331545e+000	7.383002e-001	2.344983e-001
2.269999999999992e-002	7.358785e-001	3.332885e+000	7.385570e-001	2.346600e-001
2.279999999999992e-002	7.359924e-001	3.334222e+000	7.388130e-001	2.348210e-001
2.289999999999992e-002	7.361054e-001	3.335556e+000	7.390681e-001	2.349813e-001
2.299999999999992e-002	7.362180e-001	3.336886e+000	7.393224e-001	2.351409e-001
2.309999999999992e-002	7.363305e-001	3.338213e+000	7.395758e-001	2.352999e-001
2.319999999999992e-002	7.364421e-001	3.339537e+000	7.398283e-001	2.354581e-001
2.329999999999992e-002	7.365532e-001	3.340857e+000	7.400800e-001	2.356158e-001
2.339999999999991e-002	7.366638e-001	3.342174e+000	7.403309e-001	2.357728e-001
2.349999999999991e-002	7.367744e-001	3.343488e+000	7.405810e-001	2.359291e-001
2.359999999999991e-002	7.368846e-001	3.344799e+000	7.408302e-001	2.360848e-001
2.369999999999991e-002	7.369933e-001	3.346106e+000	7.410786e-001	2.362399e-001
2.379999999999991e-002	7.371030e-001	3.347411e+000	7.413262e-001	2.363943e-001
2.389999999999991e-002	7.372108e-001	3.348712e+000	7.415730e-001	2.365481e-001
2.399999999999991e-002	7.373190e-001	3.350011e+000	7.418189e-001	2.367013e-001
2.409999999999991e-002	7.374268e-001	3.351306e+000	7.420642e-001	2.368538e-001
2.419999999999991e-002	7.375340e-001	3.352598e+000	7.423087e-001	2.370058e-001
2.429999999999991e-002	7.376399e-001	3.353887e+000	7.425523e-001	2.371571e-001
2.439999999999991e-002	7.377462e-001	3.355174e+000	7.427952e-001	2.373079e-001
2.449999999999991e-002	7.378526e-001	3.356456e+000	7.430373e-001	2.374581e-001
2.459999999999991e-002	7.379575e-001	3.357737e+000	7.432787e-001	2.376076e-001
2.469999999999991e-002	7.380624e-001	3.359015e+000	7.435194e-001	2.377566e-001
2.479999999999991e-002	7.381673e-001	3.360289e+000	7.437592e-001	2.379050e-001
2.489999999999991e-002	7.382708e-001	3.361561e+000	7.439984e-001	2.380528e-001
