time	V(N002,N003)	V(n001)
7.415143749967679e-002	2.253534e-001	1.571828e+000
7.424909374967678e-002	1.041422e-001	1.396123e+000
7.434674999967678e-002	2.953756e-002	1.218525e+000
7.444440624967677e-002	3.581405e-003	1.039277e+000
7.454206249967676e-002	1.405478e-004	8.586195e-001
7.463971874967676e-002	4.321337e-006	6.767987e-001
7.473737499967675e-002	1.341105e-007	4.940606e-001
7.503034374967674e-002	0.000000e+000	-5.717599e-002
7.522565624967673e-002	4.470348e-008	-4.246952e-001
7.532331249967672e-002	1.132488e-006	-6.077158e-001
7.542096874967671e-002	3.778934e-005	-7.899129e-001
7.551862499967671e-002	1.137257e-003	-9.710395e-001
7.561628124967670e-002	1.530856e-002	-1.150850e+000
7.571393749967670e-002	6.953943e-002	-1.329101e+000
7.581159374967669e-002	1.753238e-001	-1.505551e+000
7.590924999967669e-002	3.135891e-001	-1.679960e+000
7.600690624967668e-002	4.638156e-001	-1.852093e+000
7.629987499967667e-002	9.273639e-001	-2.352515e+000
7.659284374967665e-002	1.378454e+000	-2.824268e+000
7.688581249967663e-002	1.801867e+000	-3.261606e+000
7.717878124967662e-002	2.189350e+000	-3.659197e+000
7.747174999967660e-002	2.534756e+000	-4.012197e+000
7.776471874967658e-002	2.833097e+000	-4.316304e+000
7.805768749967657e-002	3.080272e+000	-4.567812e+000
7.835065624967655e-002	3.272974e+000	-4.763657e+000
7.864362499967653e-002	3.408665e+000	-4.901451e+000
7.893659374967652e-002	3.485575e+000	-4.979517e+000
7.922956249967650e-002	3.502705e+000	-4.996901e+000
7.952253124967648e-002	3.459835e+000	-4.953393e+000
7.981549999967647e-002	3.357519e+000	-4.849523e+000
8.010846874967645e-002	3.197087e+000	-4.686555e+000
8.040143749967643e-002	2.980641e+000	-4.466477e+000
8.069440624967642e-002	2.711046e+000	-4.191971e+000
8.098737499967640e-002	2.391946e+000	-3.866381e+000
8.128034374967638e-002	2.027805e+000	-3.493675e+000
8.157331249967637e-002	1.624055e+000	-3.078395e+000
8.186628124967635e-002	1.187561e+000	-2.625602e+000
8.215924999967633e-002	7.284220e-001	-2.140812e+000
8.235456249967632e-002	4.199939e-001	-1.802747e+000
8.245221874967632e-002	2.720271e-001	-1.629935e+000
8.254987499967631e-002	1.403642e-001	-1.454913e+000
8.264753124967630e-002	4.826808e-002	-1.277920e+000
8.274518749967630e-002	8.374453e-003	-1.099195e+000
8.284284374967629e-002	4.389882e-004	-9.189799e-001
8.294049999967629e-002	1.385808e-005	-7.375197e-001
8.303815624967628e-002	4.172325e-007	-5.550600e-001
8.313581249967628e-002	1.490116e-008	-3.718480e-001
8.333112499967627e-002	0.000000e+000	-4.161198e-003
8.352643749967625e-002	1.490116e-008	3.635482e-001
8.362409374967625e-002	3.278255e-007	5.467883e-001
8.372174999967624e-002	1.180172e-005	7.292874e-001
8.381940624967624e-002	3.767312e-004	9.107981e-001
8.391706249967623e-002	7.532299e-003	1.091075e+000
8.401471874967623e-002	4.534632e-002	1.269872e+000
8.411237499967622e-002	1.351588e-001	1.446949e+000
8.421003124967622e-002	2.656108e-001	1.622065e+000
8.430768749967621e-002	4.130976e-001	1.794983e+000
8.450299999967620e-002	7.212272e-001	2.133289e+000
8.479596874967618e-002	1.180765e+000	2.618516e+000
8.508893749967617e-002	1.617696e+000	3.071834e+000
8.538190624967615e-002	2.021997e+000	3.487719e+000
8.567487499967613e-002	2.386778e+000	3.861102e+000
8.596784374967612e-002	2.706593e+000	4.187433e+000
8.616315624967610e-002	2.892575e+000	4.376858e+000
8.645612499967609e-002	3.127904e+000	4.616239e+000
8.674909374967607e-002	3.308129e+000	4.799365e+000
8.704206249967605e-002	3.430883e+000	4.924006e+000
8.733503124967604e-002	3.494568e+000	4.988643e+000
8.762799999967602e-002	3.498357e+000	4.992488e+000
8.792096874967600e-002	3.442201e+000	4.935494e+000
8.821393749967599e-002	3.326828e+000	4.818356e+000
8.850690624967597e-002	3.153740e+000	4.642501e+000
8.879987499967595e-002	2.925208e+000	4.410072e+000
8.909284374967594e-002	2.644269e+000	4.123902e+000
8.938581249967592e-002	2.314744e+000	3.787478e+000
8.967878124967590e-002	1.941293e+000	3.404900e+000
8.997174999967589e-002	1.529604e+000	2.980829e+000
9.026471874967587e-002	1.087014e+000	2.520433e+000
9.055768749967585e-002	6.250503e-001	2.029324e+000
9.065534374967585e-002	4.707552e-001	1.859820e+000
9.075299999967584e-002	3.202187e-001	1.687796e+000
9.085065624967584e-002	1.810948e-001	1.513484e+000
9.094831249967583e-002	7.328874e-002	1.337122e+000
9.104596874967583e-002	1.667464e-002	1.158947e+000
9.114362499967582e-002	1.314372e-003	9.792020e-001
9.124128124967582e-002	4.422665e-005	7.981297e-001
9.133893749967581e-002	1.341105e-006	6.159757e-001
9.143659374967580e-002	4.470348e-008	4.329869e-001
9.172956249967579e-002	0.000000e+000	-1.185046e-001
9.192487499967578e-002	1.192093e-007	-4.857783e-001
9.202253124967577e-002	3.635883e-006	-6.685520e-001
9.212018749967577e-002	1.201928e-004	-8.504196e-001
9.221784374967576e-002	3.150880e-003	-1.031135e+000
9.231549999967575e-002	2.746326e-002	-1.210452e+000
9.241315624967575e-002	9.959304e-002	-1.388130e+000
9.251081249967574e-002	2.191680e-001	-1.563926e+000
9.260846874967574e-002	3.629984e-001	-1.737602e+000
9.270612499967573e-002	5.150324e-001	-1.908924e+000
9.299909374967572e-002	9.785042e-001	-2.406456e+000
9.329206249967570e-002	1.427045e+000	-2.874662e+000
9.358503124967568e-002	1.846820e+000	-3.307838e+000
9.387799999967567e-002	2.229906e+000	-3.700705e+000
9.417096874967565e-002	2.570311e+000	-4.048474e+000
9.446393749967563e-002	2.863155e+000	-4.346909e+000
9.475690624967562e-002	3.104427e+000	-4.592371e+000
9.504987499967560e-002	3.290906e+000	-4.781871e+000
9.534284374967558e-002	3.420138e+000	-4.913099e+000
9.563581249967557e-002	3.490441e+000	-4.984455e+000
9.592878124967555e-002	3.500901e+000	-4.995070e+000
9.622174999967553e-002	3.451384e+000	-4.944816e+000
9.651471874967552e-002	3.342532e+000	-4.834303e+000
9.680768749967550e-002	3.175758e+000	-4.664879e+000
9.710065624967548e-002	2.953251e+000	-4.438609e+000
9.739362499967547e-002	2.677961e+000	-4.158250e+000
9.768659374967545e-002	2.353620e+000	-3.827218e+000
9.797956249967543e-002	1.984790e+000	-3.449547e+000
9.827253124967542e-002	1.577028e+000	-3.029840e+000
9.856549999967540e-002	1.137423e+000	-2.573211e+000
9.885846874967538e-002	6.767318e-001	-2.085225e+000
9.905378124967537e-002	3.697155e-001	-1.745403e+000
9.915143749967537e-002	2.253534e-001	-1.571828e+000
9.924909374967536e-002	1.041422e-001	-1.396123e+000
9.934674999967535e-002	2.953756e-002	-1.218525e+000
9.944440624967535e-002	3.581405e-003	-1.039277e+000
9.954206249967534e-002	1.405478e-004	-8.586195e-001
9.963971874967534e-002	4.321337e-006	-6.767987e-001
9.973737499967533e-002	1.341105e-007	-4.940606e-001
9.993268749967532e-002	0.000000e+000	-1.268334e-001
1.000000000000000e-001	-4.954296e-018	-7.347638e-015
