time	V(N004,N005)	V(n003)
2.528179344114900e-002	5.023960e-001	1.818860e+000
2.535150168223275e-002	7.694867e-001	2.127562e+000
2.544915793223275e-002	1.157080e+000	2.557866e+000
2.564447043223275e-002	1.949795e+000	3.408823e+000
2.593743918223276e-002	3.135778e+000	4.651677e+000
2.623040793223276e-002	4.283446e+000	5.840812e+000
2.652337668223277e-002	5.371422e+000	6.961733e+000
2.681634543223277e-002	6.383286e+000	8.000772e+000
2.710931418223277e-002	7.305057e+000	8.945261e+000
2.740228293223278e-002	8.124518e+000	9.783681e+000
2.769525168223278e-002	8.831052e+000	1.050581e+001
2.798822043223279e-002	9.415619e+000	1.110283e+001
2.828118918223279e-002	9.870803e+000	1.156747e+001
2.857415793223279e-002	1.019085e+001	1.189405e+001
2.886712668223280e-002	1.037174e+001	1.207858e+001
2.916009543223280e-002	1.041118e+001	1.211882e+001
2.945306418223281e-002	1.030868e+001	1.201425e+001
2.974603293223281e-002	1.006550e+001	1.176615e+001
3.003900168223282e-002	9.684706e+000	1.137753e+001
3.033197043223282e-002	9.171070e+000	1.085312e+001
3.052728293223282e-002	8.757981e+000	1.043115e+001
3.072259543223282e-002	8.291029e+000	9.953925e+000
3.082025168223283e-002	8.038171e+000	9.695383e+000
3.091790793223283e-002	7.772863e+000	9.424017e+000
3.101556418223283e-002	7.495489e+000	9.140193e+000
3.111322043223283e-002	7.206446e+000	8.844296e+000
3.121087668223283e-002	6.906153e+000	8.536728e+000
3.130853293223283e-002	6.595048e+000	8.217905e+000
3.140618918223283e-002	6.273590e+000	7.888257e+000
3.150384543223284e-002	5.942257e+000	7.548232e+000
3.160150168223284e-002	5.601550e+000	7.198290e+000
3.169915793223284e-002	5.251993e+000	6.838905e+000
3.179681418223284e-002	4.894133e+000	6.470564e+000
3.189447043223284e-002	4.528550e+000	6.093765e+000
3.199212668223284e-002	4.155856e+000	5.709019e+000
3.208978293223284e-002	3.776707e+000	5.316847e+000
3.218743918223285e-002	3.391816e+000	4.917780e+000
3.228509543223285e-002	3.001976e+000	4.512359e+000
3.238275168223285e-002	2.608101e+000	4.101131e+000
3.248040793223285e-002	2.211295e+000	3.684655e+000
3.257806418223285e-002	1.813002e+000	3.263494e+000
3.267572043223285e-002	1.415331e+000	2.838216e+000
3.277337668223285e-002	1.022130e+000	2.409398e+000
3.287103293223286e-002	6.422226e-001	1.977615e+000
3.296868918223286e-002	2.909139e-001	1.543630e+000
3.302348685975672e-002	1.247615e-001	1.299285e+000
3.305388121041099e-002	5.812711e-002	1.163471e+000
3.307750151428542e-002	2.718002e-002	1.057803e+000
3.310475129964415e-002	8.267432e-003	9.358139e-001
3.311495496082512e-002	4.694939e-003	8.901137e-001
3.312692311488814e-002	2.724409e-003	8.364912e-001
3.314062256002578e-002	1.435608e-003	7.750967e-001
3.315495371469128e-002	7.261336e-004	7.108554e-001
3.317114717960771e-002	3.405809e-004	6.382486e-001
3.319010379633003e-002	1.426041e-004	5.532332e-001
3.321327503801352e-002	5.045533e-005	4.492946e-001
3.324238293954650e-002	1.406670e-005	3.187051e-001
3.328051296313904e-002	2.682209e-006	1.476315e-001
3.333092069955776e-002	5.438924e-006	-7.846895e-002
3.340706998859179e-002	8.748472e-005	-4.198311e-001
3.345195380478148e-002	4.499257e-004	-6.208515e-001
3.348335000910597e-002	1.476049e-003	-7.613224e-001
3.350282678715155e-002	3.351808e-003	-8.483915e-001
3.351949744903179e-002	7.059932e-003	-9.228631e-001
3.353564201529728e-002	1.427698e-002	-9.949369e-001
3.355307498833252e-002	2.827847e-002	-1.072708e+000
3.357082740826909e-002	5.177331e-002	-1.151838e+000
3.359428894831209e-002	9.884274e-002	-1.256293e+000
3.363298517868132e-002	2.023111e-001	-1.428308e+000
3.367336581671327e-002	3.314264e-001	-1.607440e+000
3.371947376845695e-002	4.961313e-001	-1.811370e+000
3.378861277556786e-002	7.590978e-001	-2.115816e+000
3.388626902556786e-002	1.143622e+000	-2.543178e+000
3.398392527556787e-002	1.534881e+000	-2.967007e+000
3.408158152556787e-002	1.928699e+000	-3.386508e+000
3.417923777556787e-002	2.321901e+000	-3.801114e+000
3.427689402556787e-002	2.712416e+000	-4.210265e+000
3.437455027556787e-002	3.098992e+000	-4.613407e+000
3.447220652556787e-002	3.480645e+000	-5.009994e+000
3.456986277556787e-002	3.856523e+000	-5.399488e+000
3.466751902556788e-002	4.225874e+000	-5.781363e+000
3.476517527556788e-002	4.588016e+000	-6.155101e+000
3.486283152556788e-002	4.942321e+000	-6.520196e+000
3.496048777556788e-002	5.288202e+000	-6.876155e+000
3.505814402556788e-002	5.625100e+000	-7.222494e+000
3.515580027556788e-002	5.952492e+000	-7.558744e+000
3.525345652556788e-002	6.269876e+000	-7.884451e+000
3.535111277556789e-002	6.576771e+000	-8.199173e+000
3.544876902556789e-002	6.872724e+000	-8.502483e+000
3.554642527556789e-002	7.157297e+000	-8.793972e+000
3.564408152556789e-002	7.430076e+000	-9.073244e+000
3.574173777556789e-002	7.690665e+000	-9.339922e+000
3.583939402556789e-002	7.938689e+000	-9.593645e+000
3.603470652556789e-002	8.395640e+000	-1.006087e+001
3.632767527556790e-002	8.978594e+000	-1.065653e+001
3.662064402556790e-002	9.432115e+000	-1.111967e+001
3.691361277556791e-002	9.750469e+000	-1.144466e+001
3.720658152556791e-002	9.929649e+000	-1.162752e+001
3.749955027556792e-002	9.967409e+000	-1.166606e+001
3.779251902556792e-002	9.863282e+000	-1.155980e+001
3.808548777556792e-002	9.618584e+000	-1.131004e+001
3.837845652556793e-002	9.236404e+000	-1.091984e+001
3.867142527556793e-002	8.721577e+000	-1.039396e+001
3.896439402556794e-002	8.080641e+000	-9.738819e+000
3.925736277556794e-002	7.321796e+000	-8.962403e+000
3.955033152556794e-002	6.454866e+000	-8.074184e+000
3.984330027556795e-002	5.491304e+000	-7.084991e+000
4.013626902556795e-002	4.444329e+000	-6.006887e+000
4.042923777556796e-002	3.329441e+000	-4.853014e+000
4.072220652556796e-002	2.166456e+000	-3.637440e+000
4.091751902556796e-002	1.379928e+000	-2.800067e+000
4.101517527556797e-002	9.910060e-001	-2.374973e+000
4.111283152556797e-002	6.157126e-001	-1.946369e+000
4.121048777556797e-002	2.690340e-001	-1.515109e+000
4.125953302301523e-002	1.235250e-001	-1.297594e+000
4.129141889088581e-002	5.562413e-002	-1.155792e+000
4.131513438394791e-002	2.502692e-002	-1.050162e+000
4.133835460825674e-002	8.950323e-003	-9.466373e-001
4.134863305650713e-002	5.245745e-003	-9.007800e-001
4.136059675117857e-002	3.059298e-003	-8.473746e-001
4.137444799939420e-002	1.605541e-003	-7.855170e-001
4.138852552832116e-002	8.210540e-004	-7.226209e-001
4.140435564621448e-002	3.922284e-004	-6.518621e-001
4.142285116318475e-002	1.676977e-004	-5.691499e-001
4.144518307224861e-002	6.331503e-005	-4.692282e-001
4.147795504264158e-002	1.780689e-005	-3.225031e-001
4.153184384904970e-002	4.969537e-006	-8.108176e-002
4.162950009904970e-002	8.484721e-005	3.565724e-001
4.168987509272579e-002	5.508661e-004	6.271147e-001
4.172326188500626e-002	1.762480e-003	7.766559e-001
4.174283887716850e-002	3.949225e-003	8.642979e-001
4.175918490003981e-002	8.154243e-003	9.374434e-001
4.177533570176584e-002	1.632890e-002	1.009685e+000
4.179261473700961e-002	3.174579e-002	1.086935e+000
4.181097490796600e-002	5.829263e-002	1.168969e+000
4.183630633194720e-002	1.122194e-001	1.282054e+000
4.187398314551199e-002	2.166221e-001	1.450056e+000
4.191381728460154e-002	3.468786e-001	1.627394e+000
4.196213185269663e-002	5.219227e-001	1.841973e+000
4.203476482833987e-002	8.011872e-001	2.163377e+000
4.213242107833987e-002	1.189447e+000	2.593237e+000
4.232773357833988e-002	1.982098e+000	3.442987e+000
4.262070232833988e-002	3.166182e+000	4.683308e+000
4.291367107833988e-002	4.310811e+000	5.869068e+000
4.320663982833989e-002	5.394843e+000	6.985816e+000
4.349960857833989e-002	6.401971e+000	8.019936e+000
4.379257732833990e-002	7.318302e+000	8.958820e+000
4.408554607833990e-002	8.131696e+000	9.791020e+000
4.437851482833990e-002	8.831621e+000	1.050639e+001
4.467148357833991e-002	9.409124e+000	1.109620e+001
4.496445232833991e-002	9.856880e+000	1.155326e+001
4.525742107833992e-002	1.016923e+001	1.187199e+001
4.555038982833992e-002	1.034225e+001	1.204850e+001
4.584335857833993e-002	1.037375e+001	1.208064e+001
4.613632732833993e-002	1.026333e+001	1.196799e+001
4.642929607833993e-002	1.001238e+001	1.171194e+001
4.672226482833994e-002	9.624024e+000	1.131559e+001
4.691757732833994e-002	9.291135e+000	1.097573e+001
4.711288982833994e-002	8.901184e+000	1.057746e+001
4.721054607833995e-002	8.685486e+000	1.035708e+001
4.730820232833995e-002	8.456371e+000	1.012294e+001
4.740585857833995e-002	8.214163e+000	9.875341e+000
4.750351482833995e-002	7.959208e+000	9.614629e+000
4.760117107833995e-002	7.691871e+000	9.341154e+000
4.769882732833995e-002	7.412533e+000	9.055286e+000
4.779648357833995e-002	7.121599e+000	8.757412e+000
4.789413982833995e-002	6.819489e+000	8.447935e+000
4.799179607833996e-002	6.506648e+000	8.127275e+000
4.808945232833996e-002	6.183536e+000	7.795867e+000
4.818710857833996e-002	5.850635e+000	7.454158e+000
4.828476482833996e-002	5.508452e+000	7.102612e+000
4.838242107833996e-002	5.157515e+000	6.741704e+000
4.857773357833996e-002	4.431627e+000	5.993773e+000
4.877304607833997e-002	3.677816e+000	5.214416e+000
4.896835857833997e-002	2.901714e+000	4.407851e+000
4.916367107833997e-002	2.110528e+000	3.578448e+000
4.935898357833998e-002	1.315798e+000	2.730695e+000
4.945663982833998e-002	9.249689e-001	2.301366e+000
4.955429607833998e-002	5.516604e-001	1.869169e+000
4.965195232833998e-002	2.133750e-001	1.434907e+000
4.969482307926610e-002	9.460598e-002	1.243674e+000
4.972280134782611e-002	4.464704e-002	1.118624e+000
4.975512703687759e-002	1.251611e-002	9.740032e-001
4.976698269995907e-002	6.496191e-003	9.209303e-001
4.977806149036274e-002	3.925771e-003	8.713129e-001
4.979257981446054e-002	2.009094e-003	8.062730e-001
4.980568617923675e-002	1.064360e-003	7.475427e-001
4.982103499041186e-002	5.195737e-004	6.787457e-001
4.983810156138238e-002	2.346933e-004	6.022301e-001
4.985904617184275e-002	9.092689e-005	5.083049e-001
4.988438285068882e-002	2.939999e-005	3.946587e-001
4.991741564440406e-002	7.420778e-006	2.464698e-001
4.996956451881183e-002	5.786773e-006	1.255541e-002
5.006722076881183e-002	4.075617e-004	-4.251923e-001
5.014761975089271e-002	3.763556e-003	-7.851429e-001
5.018661644199971e-002	1.170477e-002	-9.594681e-001
5.020638286951092e-002	2.358317e-002	-1.047710e+000
5.022656430701547e-002	4.703897e-002	-1.137712e+000
5.024716466913257e-002	8.532363e-002	-1.229478e+000
5.028473742879443e-002	1.820539e-001	-1.396594e+000
5.032852292684252e-002	3.190597e-001	-1.590964e+000
5.037156188446183e-002	4.710636e-001	-1.781484e+000
5.043681445472532e-002	7.180334e-001	-2.069120e+000
5.053447070472533e-002	1.101583e+000	-2.497072e+000
5.063212695472533e-002	1.492546e+000	-2.921621e+000
5.082743945472533e-002	2.280397e+000	-3.757491e+000
5.102275195472533e-002	3.059188e+000	-4.571969e+000
5.121806445472533e-002	3.819000e+000	-5.360646e+000
5.141337695472534e-002	4.553253e+000	-6.119250e+000
5.160868945472534e-002	5.256625e+000	-6.843675e+000
5.170634570472534e-002	5.595265e+000	-7.191835e+000
5.180400195472534e-002	5.924491e+000	-7.529996e+000
5.190165820472534e-002	6.243797e+000	-7.857697e+000
5.199931445472535e-002	6.552702e+000	-8.174496e+000
5.209697070472535e-002	6.850744e+000	-8.479963e+000
5.219462695472535e-002	7.137487e+000	-8.773685e+000
5.229228320472535e-002	7.412510e+000	-9.055264e+000
5.238993945472535e-002	7.675414e+000	-9.324318e+000
5.248759570472535e-002	7.925822e+000	-9.580483e+000
5.258525195472535e-002	8.163373e+000	-9.823414e+000
5.268290820472536e-002	8.387729e+000	-1.005278e+001
5.287822070472536e-002	8.795600e+000	-1.046959e+001
5.307353320472536e-002	9.147124e+000	-1.082866e+001
5.336650195472537e-002	9.564521e+000	-1.125485e+001
5.365947070472537e-002	9.845490e+000	-1.154164e+001
5.395243945472537e-002	9.986499e+000	-1.168554e+001
5.424540820472538e-002	9.985783e+000	-1.168481e+001
5.453837695472538e-002	9.843355e+000	-1.153946e+001
5.483134570472539e-002	9.561012e+000	-1.125127e+001
5.512431445472539e-002	9.142321e+000	-1.082376e+001
5.541728320472539e-002	8.592576e+000	-1.026214e+001
5.571025195472540e-002	7.918769e+000	-9.573272e+000
5.600322070472540e-002	7.129539e+000	-8.765547e+000
5.629618945472541e-002	6.235139e+000	-7.848816e+000
5.658915820472541e-002	5.247469e+000	-6.834257e+000
5.688212695472542e-002	4.180258e+000	-5.734240e+000
5.717509570472542e-002	3.049791e+000	-4.562173e+000
5.746806445472542e-002	1.877837e+000	-3.332342e+000
5.766337695472543e-002	1.092951e+000	-2.487738e+000
5.776103320472543e-002	7.120602e-001	-2.059723e+000
5.785868945472543e-002	3.542225e-001	-1.628896e+000
5.791782210441899e-002	1.645951e-001	-1.366822e+000
5.795206707956326e-002	7.946056e-002	-1.214593e+000
5.797744765122002e-002	3.854871e-002	-1.101564e+000
5.800672419585028e-002	1.176912e-002	-9.710401e-001
5.801741163349146e-002	6.614387e-003	-9.233552e-001
5.802865282702475e-002	4.006594e-003	-8.731686e-001
5.804317646177991e-002	2.053350e-003	-8.083001e-001
5.805637415361098e-002	1.085132e-003	-7.493286e-001
5.807164467523315e-002	5.321205e-004	-6.810647e-001
5.808872785641249e-002	2.407432e-004	-6.046636e-001
5.810955596109006e-002	9.387732e-005	-5.114697e-001
5.813484640788981e-002	3.047287e-005	-3.982526e-001
5.816761185627260e-002	7.852912e-006	-2.514930e-001
5.822128961374432e-002	6.012153e-006	-1.094996e-002
5.831894586374432e-002	1.542270e-004	4.267435e-001
5.837487048343890e-002	9.613037e-004	6.773196e-001
5.840937014533569e-002	3.150374e-003	8.318087e-001
5.842834568365912e-002	6.740808e-003	9.167312e-001
5.844468728599500e-002	1.375484e-002	9.898273e-001
5.846333966875787e-002	2.848393e-002	1.073218e+000
5.848064022132841e-002	5.125558e-002	1.150518e+000
5.850413165054986e-002	9.842569e-002	1.255388e+000
